model,base_model,finetuned_dataset,eval_accuracy,task_type,learning_rate,batch_size,num_epochs,created_at,last_modified,license,downloads
tals/albert-base-vitaminc-mnli,albert-base-v2,nyu-mll/glue,,sequence_classification,,,,,2024-11-12T13:42:22.000Z,,37
tanganke/gpt2_mnli,,nyu-mll/glue,,sequence_classification,,,,,2024-05-20T02:14:46.000Z,,20
tanganke/gpt2_qqp,,nyu-mll/glue,,sequence_classification,,,,,2024-05-20T02:46:54.000Z,,17
tanganke/gpt2_mrpc,,nyu-mll/glue,,sequence_classification,,,,,2024-05-20T02:15:46.000Z,,16
tanganke/gpt2_sst2,,nyu-mll/glue,,sequence_classification,,,,,2024-05-20T02:47:39.000Z,,16
tanganke/gpt2_qnli,,nyu-mll/glue,,sequence_classification,,,,,2024-05-20T02:15:21.000Z,,14
tanganke/gpt2_cola,,nyu-mll/glue,,sequence_classification,,,,,2024-05-20T02:11:53.000Z,,13
lyrisha/distilbert-base-finetuned-sentiment,distilbert-base-uncased,nyu-mll/glue,0.9128,sequence_classification,2e-05,32,3.0,,2024-05-12T21:09:23.000Z,,11
vesteinn/XLMR-ENIS-finetuned-sst2,xlm-roberta-base,nyu-mll/glue,0.9278,sequence_classification,2e-05,16,1.0,,2025-02-25T20:04:05.000Z,,10
tanganke/gpt2_rte,,nyu-mll/glue,,sequence_classification,,,,,2024-05-20T02:47:30.000Z,,10
yophis/DRM-Llama-3.1-8B-mnli,,nyu-mll/glue,,sequence_classification,,,,,2025-11-02T03:13:58.000Z,,10
viswadarshan06/pd-bert,bert-base-uncased,nyu-mll/glue,,sequence_classification,,,,,2025-02-09T21:02:59.000Z,,9
dimboump/glue_sst_classifier,bert-base-uncased,nyu-mll/glue,0.9014,sequence_classification,1e-05,128,1.0,,2024-04-11T13:05:13.000Z,,7
sid29/roberta-base-qnli-finetuned,roberta-base,nyu-mll/glue,0.9176,sequence_classification,4e-06,16,4.0,,2024-08-13T06:41:18.000Z,,6
vesteinn/XLMR-ENIS-finetuned-cola,xlm-roberta-base,nyu-mll/glue,,sequence_classification,2e-05,16,5.0,,2024-04-11T12:45:00.000Z,,5
goktug14/gpt1_sst2_left,,nyu-mll/glue,0.9266,sequence_classification,2e-05,16,4.0,,2025-01-31T17:25:04.000Z,,5
goktug14/gpt1_sst2_left,,sst2,0.9266,sequence_classification,2e-05,16,4.0,,2025-01-31T17:25:04.000Z,,5
mi55th/bert-sst2-nesterov,bert-base-uncased,nyu-mll/glue,,sequence_classification,,,,,2026-01-09T08:59:05.000Z,,5
Snape-v/finetuned-bert-mrpc,bert-base-uncased,nyu-mll/glue,0.8407,sequence_classification,2e-05,16,3.0,,2024-07-13T14:26:28.000Z,,4
Edrex/my-model,bert-base-uncased,nyu-mll/glue,,sequence_classification,,,,,2025-07-29T15:20:20.000Z,,4
C5i/SEAD-L-6_H-256_A-8-sst2,bert-base-uncased,nyu-mll/glue,,sequence_classification,,,,,2024-05-15T14:02:29.000Z,,3
minseok0809/bert-base-uncased-finetuned-mnli,bert-base-uncased,nyu-mll/glue,,sequence_classification,,,,,2025-03-27T05:02:32.000Z,,3
domasin/test-trainer,bert-base-uncased,nyu-mll/glue,0.8627,sequence_classification,5e-05,8,3.0,,2024-06-24T08:22:07.000Z,,3
Jsevisal/ModernBERT_qnli,,nyu-mll/glue,,sequence_classification,8e-05,32,2.0,,2025-01-23T12:28:42.000Z,,3
jeffreybiles/finetuned-glue-mrpc,bert-base-uncased,nyu-mll/glue,,sequence_classification,,,,,2025-02-27T14:43:30.000Z,,3
AjithBharadwaj/bert-finetuned-mrpc,bert-base-uncased,nyu-mll/glue,,sequence_classification,,,,,2025-10-29T04:59:50.000Z,,3
cglez/bert-base-uncased-ft-winograd_nli,bert-base-uncased,nyu-mll/glue,,sequence_classification,,,,,2025-11-24T17:34:26.000Z,,3
C5i/SEAD-L-6_H-384_A-12-sst2,bert-base-uncased,nyu-mll/glue,,sequence_classification,,,,,2024-05-15T14:02:11.000Z,,2
minseok0809/bert-base-uncased-finetuned-qqp,bert-base-uncased,nyu-mll/glue,,sequence_classification,,,,,2025-03-27T05:02:00.000Z,,2
SSM10/roberta-base-mrpc-glue,roberta-base,nyu-mll/glue,0.8529,sequence_classification,1e-05,8,3.0,,2024-08-05T01:08:32.000Z,,2
viswadarshan06/pd-robert,roberta-base,nyu-mll/glue,,sequence_classification,,,,,2025-02-14T05:14:29.000Z,,2
viswadarshan06/pd-mpnet,,nyu-mll/glue,,sequence_classification,,,,,2025-02-09T20:42:38.000Z,,2
tamdd18/bert-base-uncased-cola,bert-base-uncased,nyu-mll/glue,,sequence_classification,5e-05,8,3.0,,2025-02-23T10:39:36.000Z,,2
radubutucelea23/bert_base_uncased_sst2,bert-base-uncased,nyu-mll/glue,,sequence_classification,,,,,2025-04-02T19:37:28.000Z,,2
soonbob/mnli-finetuned-bert-base-cased,bert-base-uncased,nyu-mll/glue,0.6368,sequence_classification,0.001,128,3.0,,2025-04-15T13:34:02.000Z,,2
eren2222/bert-sst2,bert-base-uncased,nyu-mll/glue,0.8,sequence_classification,5e-05,16,10.0,,2025-07-19T15:46:38.000Z,,2
strectelite/mnli-llama3.2-1b-qlora-10k,,nyu-mll/glue,,sequence_classification,,,,,2025-08-13T05:50:34.000Z,,2
yophis/DRM-Llama-3.1-8B-cola,,nyu-mll/glue,,sequence_classification,,,,,2025-10-31T16:08:41.000Z,,2
yophis/DRM-Llama-3.1-8B-sst2,,nyu-mll/glue,,sequence_classification,,,,,2025-10-31T16:08:46.000Z,,2
yophis/DRM-Llama-3.1-8B-qnli,,nyu-mll/glue,,sequence_classification,,,,,2025-10-31T16:08:57.000Z,,2
yophis/DRM-Llama-3.1-8B-rte,,nyu-mll/glue,,sequence_classification,,,,,2025-10-31T16:08:36.000Z,,2
minseok0809/bert-base-uncased-finetuned-cola,bert-base-uncased,nyu-mll/glue,,sequence_classification,,,,,2025-03-27T05:02:17.000Z,,1
minseok0809/bert-base-uncased-finetuned-mrpc,bert-base-uncased,nyu-mll/glue,,sequence_classification,,,,,2025-03-27T05:02:48.000Z,,1
minseok0809/bert-base-uncased-finetuned-qnli,bert-base-uncased,nyu-mll/glue,,sequence_classification,,,,,2025-03-27T05:03:00.000Z,,1
minseok0809/bert-base-uncased-finetuned-rte,bert-base-uncased,nyu-mll/glue,,sequence_classification,,,,,2025-03-27T05:01:36.000Z,,1
minseok0809/bert-base-uncased-finetuned-stsb,bert-base-uncased,nyu-mll/glue,,sequence_classification,,,,,2025-03-27T05:01:48.000Z,,1
brianhuster/MRPC-bert,bert-base-uncased,nyu-mll/glue,,sequence_classification,,,3.0,,2024-03-26T07:43:00.000Z,,1
sileod/deberta-v3-base-tasksource-paraphrase,microsoft/deberta-v2-xlarge,nyu-mll/glue,,sequence_classification,,,,,2024-04-17T15:57:41.000Z,,1
lei-wang/wl-bert-finetuned-mrpc,bert-base-uncased,nyu-mll/glue,,sequence_classification,,,,,2024-05-16T16:20:13.000Z,,1
ckandrew04/bert-base-cased-fine-tuned-sst2,bert-base-uncased,nyu-mll/glue,0.9209,sequence_classification,2e-05,16,3.0,,2024-12-10T15:38:23.000Z,,1
cluebbers/deberta-base-paraphrase-detection-qqp,microsoft/deberta-base,nyu-mll/glue,,sequence_classification,,,,,2025-06-04T09:40:08.000Z,,1
goktug14/gpt1_sst2_right,,nyu-mll/glue,0.9255,sequence_classification,2e-05,16,4.0,,2025-01-31T01:07:23.000Z,,1
goktug14/gpt1_sst2_right,,sst2,0.9255,sequence_classification,2e-05,16,4.0,,2025-01-31T01:07:23.000Z,,1
Simo76/Unified-LoRA,,nyu-mll/glue,,sequence_classification,,,,,2026-04-09T20:54:02.000Z,,0
SanaullahTareen07/bert-model-fine-tune-for-sentimental-analysis,,nyu-mll/glue,,sequence_classification,,,,,2026-06-16T11:06:07.000Z,,0
MagnusFelinto/inteligenciaComputacional,xlm-roberta-base,contemmcm/hate-speech-and-offensive-language,,sequence_classification,,,,,2025-12-08T22:02:38.000Z,,0
Tanneru/Emotion-Classification-DeBERTa-v3-Large,microsoft/deberta-v2-xlarge,dair-ai/emotion,,sequence_classification,,,,,2025-08-09T09:18:42.000Z,,285
Sukuna404/deberta-emotion-quantized-int8,microsoft/deberta-v2-xlarge,dair-ai/emotion,,sequence_classification,,,,,2026-05-19T11:43:46.000Z,,269
shhossain/all-MiniLM-L6-v2-sentiment-classifier,,dair-ai/emotion,,sequence_classification,,,,,2024-02-15T02:26:38.000Z,,211
zeeshan-hf/mlops-emotion-distilbert-group14,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2026-06-14T18:07:19.000Z,,146
srajam696/mlops-emotion-distilbert,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,3e-05,,,,2026-06-01T19:58:08.000Z,,128
Sukuna404/Multilingual-MiniLM-L12-H384,bert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2026-06-01T08:44:06.000Z,,127
Sukuna404/distilbert-emotion-fp32,bert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2026-05-26T06:04:21.000Z,,96
JuanmaPalacios/emotion-classifier-en,distilbert-base-uncased,dair-ai/emotion,0.916,sequence_classification,,,,,2026-05-23T23:16:21.000Z,,83
VaibhavG25AIT2122/mlops-emotion-classifier,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2026-06-14T13:12:40.000Z,,76
g25ait2149/mlops-group28-emotion-distilbert-iitj,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2026-06-12T07:32:47.000Z,,71
Emisgalix/emotion-distilbert-finetuned,distilbert-base-uncased,dair-ai/emotion,0.9165,sequence_classification,,,,,2026-06-01T19:22:55.000Z,,51
dk409/emotion-roberta,roberta-base,dair-ai/emotion,,sequence_classification,,,,,2026-03-26T03:24:29.000Z,,49
Naitaa/distilbert-emotion-es-demo,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,2e-05,,,,2026-05-31T18:04:35.000Z,,43
ma2za/roberta-emotion,,dair-ai/emotion,,sequence_classification,,,,,2023-05-09T02:02:24.000Z,,34
znmor9365/Twitter_DistilBERT,distilbert-base-uncased,dair-ai/emotion,,sequence_classification,,,,,2026-06-14T14:49:30.000Z,,34
