dataset_a,dataset_b,weight
ARC (AI2 Reasoning Challenge),TriviaQA,0.2521022991720686
ARC (AI2 Reasoning Challenge),OpenBookQA,0.21467302446741504
ARC (AI2 Reasoning Challenge),PopQA,0.17196448675516451
ARC (AI2 Reasoning Challenge),gpqa_extended,0.16954781429775617
ARC (AI2 Reasoning Challenge),ARC (tr),0.16764342728361553
ARC (AI2 Reasoning Challenge),PIQA,0.1535928599353853
ARC (AI2 Reasoning Challenge),MMLU-Pro,0.14440841920516403
ARC (AI2 Reasoning Challenge),DROP Test,0.13127209079490068
ARC (AI2 Reasoning Challenge),GPQA,0.11501965890681769
ARC (AI2 Reasoning Challenge),gpqa_diamond,0.11205569380234442
ARC (tr),ARC (AI2 Reasoning Challenge),0.16764342728361553
ARC (tr),bbh_movie_recommendation,0.0
ARC (tr),bbh_navigate,0.0
ARC (tr),bbh_object_counting,0.0
ARC (tr),bbh_penguins_in_a_table,0.0
ARC (tr),bbh_reasoning_about_colored_objects,0.0
ARC (tr),bbh_ruin_names,0.0
ARC (tr),bbh_salient_translation_error_detection,0.0
ARC (tr),bbh_snarks,0.0
ARC (tr),bbh_sports_understanding,0.0
Big-bench Hard,bbh_logical_deduction_five_objects,0.26370063061515436
Big-bench Hard,bbh_logical_deduction_three_objects,0.26370063061515436
Big-bench Hard,bbh_logical_deduction_seven_objects,0.24756374038044568
Big-bench Hard,bbh_tracking_shuffled_objects_five_objects,0.20949038900395314
Big-bench Hard,bbh_tracking_shuffled_objects_three_objects,0.20949038900395314
Big-bench Hard,bbh_tracking_shuffled_objects_seven_objects,0.19807759226180627
Big-bench Hard,"GPQA (0-shot, CoT)",0.1948425195565695
Big-bench Hard,bbh_object_counting,0.19234325106833292
Big-bench Hard,bbh_sports_understanding,0.18938578523963215
Big-bench Hard,bbh_reasoning_about_colored_objects,0.18812368798973172
BigBench Hard 3-shot,PIQA 5-shot,0.25788338346036904
BigBench Hard 3-shot,PIQA (5-shot),0.25788338346036904
BigBench Hard 3-shot,PIQA (0-shot),0.25788338346036904
BigBench Hard 3-shot,TriviaQA 5-shot,0.23454282436965754
BigBench Hard 3-shot,MedQA 2-shot,0.218361656168211
BigBench Hard 3-shot,"GPQA (0-shot, CoT)",0.21147376014204772
BigBench Hard 3-shot,"BigBenchHard (3 shot, CoT)",0.18469310216075358
BigBench Hard 3-shot,OpenBookQA 10-shot,0.18355241644010367
BigBench Hard 3-shot,OpenBookQA (10-shot),0.18355241644010367
BigBench Hard 3-shot,PopQA (15 shot),0.17075634501217007
"BigBenchHard (3 shot, CoT)","GPQA (0-shot, CoT)",0.5154750943021611
"BigBenchHard (3 shot, CoT)","MMLU-Pro (3-shot, CoT)",0.40511478645098425
"BigBenchHard (3 shot, CoT)","MMLU-Pro (0-shot, CoT)",0.40511478645098425
"BigBenchHard (3 shot, CoT)",PIQA (5-shot),0.23121803433707755
"BigBenchHard (3 shot, CoT)",PIQA 5-shot,0.23121803433707755
"BigBenchHard (3 shot, CoT)",PIQA (0-shot),0.23121803433707755
"BigBenchHard (3 shot, CoT)",TriviaQA 5-shot,0.21029090781629464
"BigBenchHard (3 shot, CoT)",MedQA 2-shot,0.19578288541247402
"BigBenchHard (3 shot, CoT)",BigBench Hard 3-shot,0.18469310216075358
"BigBenchHard (3 shot, CoT)",Big-bench Hard,0.17016801207652493
DROP Test,GPQA,0.16437584531225824
