task,dataset,model,metric,value
Question Answering,PIQA,sheared-llama-2-7b,accuracy,75.8
Question Answering,PIQA,sheared-llama-1-3b,accuracy,73.4
Question Answering,DROP Test,orca-2-7b,f1,60.26
Question Answering,DROP Test,orca-2-13b,f1,57.97
Question Answering,Big-bench Hard,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.3311925013018573
Question Answering,bbh_boolean_expressions,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.756
Question Answering,bbh_causal_judgement,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.4705882352941176
Question Answering,bbh_date_understanding,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.264
Question Answering,bbh_disambiguation_qa,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.324
Question Answering,bbh_formal_fallacies,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.456
Question Answering,bbh_geometric_shapes,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.244
Question Answering,bbh_hyperbaton,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.484
Question Answering,bbh_logical_deduction_five_objects,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.22
Question Answering,bbh_logical_deduction_seven_objects,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.144
Question Answering,bbh_logical_deduction_three_objects,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,accuracy_norm,0.352
