Unnamed: 0,model,finetuned_dataset,model_name,dataset_name,task_type,batch_size,lr_scheduler_type,learning_rate,gradient_accumulation_steps,num_train_epochs,seed,dataset_path,train_runtime,eval_accuracy,push_to_hub,hub_model_id,push_to_hub_organization,hub_token,peft_method,lora_attention_dimension,lora_alpha,lora_dropout,lora_bias
108,bert-base-uncased,google/boolq,,,text-classification,16.0,,2e-05,,4.0,,,,0.715,,,,,,,,,
287,minishlab/potion-base-32m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
288,minishlab/potion-base-2m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
289,minishlab/potion-base-4m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
290,minishlab/potion-base-4m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
291,minishlab/potion-base-32m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
292,minishlab/potion-multilingual-128M,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
293,minishlab/potion-base-8m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
294,minishlab/potion-base-2m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
295,minishlab/potion-base-32m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
296,minishlab/potion-base-2m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
297,minishlab/potion-base-2m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
298,minishlab/potion-multilingual-128M,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
299,minishlab/potion-multilingual-128M,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
300,minishlab/potion-multilingual-128M,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
301,minishlab/potion-base-2m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
302,minishlab/potion-base-8m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
303,minishlab/potion-base-4m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
304,minishlab/potion-base-32m,enguard/multi-lingual-prompt-moderation,,,text-classification,,,,,,,,,,,,,,,,,,
