model,dataset,eval_accuracy
sheared-llama-1-3b,PIQA,0.7340000000000001
orca-2-7b,DROP Test,0.6026
orca-2-13b,DROP Test,0.5797
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_boolean_expressions,0.756
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_causal_judgement,0.4705882352941176
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_date_understanding,0.264
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_disambiguation_qa,0.324
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_formal_fallacies,0.456
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_geometric_shapes,0.244
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_hyperbaton,0.484
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_logical_deduction_seven_objects,0.144
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_logical_deduction_three_objects,0.352
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_movie_recommendation,0.432
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_navigate,0.548
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_object_counting,0.292
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_penguins_in_a_table,0.2465753424657534
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_reasoning_about_colored_objects,0.168
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_salient_translation_error_detection,0.168
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_snarks,0.4269662921348314
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_temporal_sequences,0.148
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_tracking_shuffled_objects_five_objects,0.184
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_tracking_shuffled_objects_seven_objects,0.128
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_tracking_shuffled_objects_three_objects,0.34
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_web_of_lies,0.488
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,gpqa,0.2692953020134228
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,gpqa_diamond,0.2525252525252525
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,gpqa_extended,0.2747252747252747
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,GPQA,0.2700892857142857
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,math_hard,0.0203927492447129
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,math_intermediate_algebra_hard,0.0035714285714285
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,math_num_theory_hard,0.0129870129870129
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,math_precalculus_hard,0.0037037037037037
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,MMLU-Pro,0.1497672872340425
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,musr_murder_mysteries,0.496
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,musr_object_placements,0.22265625
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,musr_team_allocation,0.272
10prymmal-3b-slerp,Big-bench Hard,0.5299427182780767
10prymmal-3b-slerp,bbh_boolean_expressions,0.88
10prymmal-3b-slerp,bbh_causal_judgement,0.6256684491978609
10prymmal-3b-slerp,bbh_date_understanding,0.652
10prymmal-3b-slerp,bbh_disambiguation_qa,0.748
10prymmal-3b-slerp,bbh_formal_fallacies,0.62
10prymmal-3b-slerp,bbh_geometric_shapes,0.3
10prymmal-3b-slerp,bbh_hyperbaton,0.848
10prymmal-3b-slerp,bbh_logical_deduction_five_objects,0.508
10prymmal-3b-slerp,bbh_logical_deduction_seven_objects,0.508
10prymmal-3b-slerp,bbh_logical_deduction_three_objects,0.788
10prymmal-3b-slerp,bbh_movie_recommendation,0.712
10prymmal-3b-slerp,bbh_navigate,0.612
10prymmal-3b-slerp,bbh_object_counting,0.396
10prymmal-3b-slerp,bbh_penguins_in_a_table,0.4657534246575342
10prymmal-3b-slerp,bbh_reasoning_about_colored_objects,0.512
10prymmal-3b-slerp,bbh_ruin_names,0.484
10prymmal-3b-slerp,bbh_salient_translation_error_detection,0.496
10prymmal-3b-slerp,bbh_snarks,0.7134831460674157
10prymmal-3b-slerp,bbh_sports_understanding,0.604
10prymmal-3b-slerp,bbh_temporal_sequences,0.26
10prymmal-3b-slerp,bbh_tracking_shuffled_objects_five_objects,0.136
10prymmal-3b-slerp,bbh_tracking_shuffled_objects_seven_objects,0.156
10prymmal-3b-slerp,bbh_tracking_shuffled_objects_three_objects,0.264
10prymmal-3b-slerp,gpqa,0.3213087248322148
10prymmal-3b-slerp,gpqa_diamond,0.3333333333333333
10prymmal-3b-slerp,gpqa_extended,0.3131868131868132
10prymmal-3b-slerp,GPQA,0.3258928571428571
10prymmal-3b-slerp,math_algebra_hard,0.2149837133550488
10prymmal-3b-slerp,math_counting_and_prob_hard,0.1138211382113821
10prymmal-3b-slerp,math_hard,0.1132930513595166
10prymmal-3b-slerp,math_intermediate_algebra_hard,0.0160714285714285
10prymmal-3b-slerp,math_num_theory_hard,0.0568181818181818
10prymmal-3b-slerp,math_prealgebra_hard,0.2603626943005181
10prymmal-3b-slerp,math_precalculus_hard,0.0296296296296296
10prymmal-3b-slerp,MMLU-Pro,0.3881316489361702
10prymmal-3b-slerp,musr,0.4523809523809524
10prymmal-3b-slerp,musr_murder_mysteries,0.56
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,Big-bench Hard,0.5203957646241972
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_causal_judgement,0.5882352941176471
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_date_understanding,0.552
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_disambiguation_qa,0.76
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_formal_fallacies,0.604
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_geometric_shapes,0.312
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_hyperbaton,0.812
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_logical_deduction_five_objects,0.52
