model,dataset,eval_accuracy
sheared-llama-1-3b,PIQA,0.7340000000000001
orca-2-7b,DROP Test,0.6026
orca-2-13b,DROP Test,0.5797
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_boolean_expressions,0.00756
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_causal_judgement,0.004705882352941176
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_date_understanding,0.00264
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_disambiguation_qa,0.0032400000000000003
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_formal_fallacies,0.00456
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_geometric_shapes,0.00244
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_hyperbaton,0.00484
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_logical_deduction_seven_objects,0.0014399999999999999
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_logical_deduction_three_objects,0.0035199999999999997
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_movie_recommendation,0.00432
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_navigate,0.0054800000000000005
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_object_counting,0.00292
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_penguins_in_a_table,0.002465753424657534
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_reasoning_about_colored_objects,0.00168
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_salient_translation_error_detection,0.00168
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_snarks,0.004269662921348314
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_temporal_sequences,0.00148
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_tracking_shuffled_objects_five_objects,0.00184
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_tracking_shuffled_objects_seven_objects,0.00128
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_tracking_shuffled_objects_three_objects,0.0034000000000000002
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,bbh_web_of_lies,0.00488
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,gpqa,0.0026929530201342277
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,gpqa_diamond,0.002525252525252525
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,gpqa_extended,0.002747252747252747
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,GPQA,0.002700892857142857
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,math_hard,0.00020392749244712901
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,math_intermediate_algebra_hard,3.5714285714285e-05
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,math_num_theory_hard,0.000129870129870129
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,math_precalculus_hard,3.7037037037037e-05
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,MMLU-Pro,0.001497672872340425
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,musr_murder_mysteries,0.00496
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,musr_object_placements,0.0022265625
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,musr_team_allocation,0.00272
10prymmal-3b-slerp,Big-bench Hard,0.005299427182780767
10prymmal-3b-slerp,bbh_boolean_expressions,0.0088
10prymmal-3b-slerp,bbh_causal_judgement,0.006256684491978609
10prymmal-3b-slerp,bbh_date_understanding,0.006520000000000001
10prymmal-3b-slerp,bbh_disambiguation_qa,0.00748
10prymmal-3b-slerp,bbh_formal_fallacies,0.0062
10prymmal-3b-slerp,bbh_geometric_shapes,0.003
10prymmal-3b-slerp,bbh_hyperbaton,0.00848
10prymmal-3b-slerp,bbh_logical_deduction_five_objects,0.00508
10prymmal-3b-slerp,bbh_logical_deduction_seven_objects,0.00508
10prymmal-3b-slerp,bbh_logical_deduction_three_objects,0.00788
10prymmal-3b-slerp,bbh_movie_recommendation,0.00712
10prymmal-3b-slerp,bbh_navigate,0.00612
10prymmal-3b-slerp,bbh_object_counting,0.00396
10prymmal-3b-slerp,bbh_penguins_in_a_table,0.004657534246575342
10prymmal-3b-slerp,bbh_reasoning_about_colored_objects,0.00512
10prymmal-3b-slerp,bbh_ruin_names,0.00484
10prymmal-3b-slerp,bbh_salient_translation_error_detection,0.00496
10prymmal-3b-slerp,bbh_snarks,0.007134831460674157
10prymmal-3b-slerp,bbh_sports_understanding,0.00604
10prymmal-3b-slerp,bbh_temporal_sequences,0.0026
10prymmal-3b-slerp,bbh_tracking_shuffled_objects_five_objects,0.00136
10prymmal-3b-slerp,bbh_tracking_shuffled_objects_seven_objects,0.00156
10prymmal-3b-slerp,bbh_tracking_shuffled_objects_three_objects,0.00264
10prymmal-3b-slerp,gpqa,0.003213087248322148
10prymmal-3b-slerp,gpqa_diamond,0.003333333333333333
10prymmal-3b-slerp,gpqa_extended,0.0031318681318681318
10prymmal-3b-slerp,GPQA,0.003258928571428571
10prymmal-3b-slerp,math_algebra_hard,0.002149837133550488
10prymmal-3b-slerp,math_counting_and_prob_hard,0.001138211382113821
10prymmal-3b-slerp,math_hard,0.001132930513595166
10prymmal-3b-slerp,math_intermediate_algebra_hard,0.000160714285714285
10prymmal-3b-slerp,math_num_theory_hard,0.000568181818181818
10prymmal-3b-slerp,math_prealgebra_hard,0.0026036269430051813
10prymmal-3b-slerp,math_precalculus_hard,0.000296296296296296
10prymmal-3b-slerp,MMLU-Pro,0.003881316489361702
10prymmal-3b-slerp,musr,0.004523809523809524
10prymmal-3b-slerp,musr_murder_mysteries,0.005600000000000001
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,Big-bench Hard,0.005203957646241973
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_causal_judgement,0.0058823529411764705
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_date_understanding,0.005520000000000001
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_disambiguation_qa,0.0076
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_formal_fallacies,0.00604
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,bbh_geometric_shapes,0.00312
